Service,CabType,Source,Destination,Fare
Uber,Prime,Bhiwandi,Nerul,295
Ola,Mini,Nerul,Borivali,687
Uber,Mini,Nerul,Borivali,658
Ola,Mini,Seawoods,Dadar,360
Uber,Prime,Seawoods,Dadar,417
Ola,Prime,Kalyan,Panvel,563
Uber,XL,Kalyan,Panvel,543
Ola,XL,Bandra,Kurla,682
Uber,Prime,Bandra,Kurla,695
Ola,XL,Kalyan,Colaba,480
Uber,Mini,Kalyan,Colaba,493
Ola,Bike,Ghatkopar,Colaba,376
Uber,Auto,Ghatkopar,Colaba,323
Ola,Prime,Seawoods,Bhiwandi,531
Uber,Prime,Seawoods,Bhiwandi,478
Ola,Auto,Andheri,Borivali,504
Uber,Bike,Andheri,Borivali,461
Ola,Auto,Mulund,Bhiwandi,429
Uber,XL,Mulund,Bhiwandi,448
Ola,Sedan,Bandra,Seawoods,381
Uber,Bike,Bandra,Seawoods,389
Ola,Auto,Panvel,Andheri,738
Uber,XL,Panvel,Andheri,726
Ola,Prime,Andheri,Mulund,687
Uber,XL,Andheri,Mulund,655
Ola,Prime,Colaba,Mulund,219
Uber,Auto,Colaba,Mulund,256
Ola,Auto,Dadar,Vasai,355
Uber,Bike,Dadar,Vasai,278
Ola,Sedan,Panvel,Kalyan,463
Uber,Prime,Panvel,Kalyan,475
Ola,Bike,Vikhroli,Chembur,585
Uber,Auto,Vikhroli,Chembur,528
Ola,Auto,Chembur,Vasai,625
Uber,Bike,Chembur,Vasai,677
Ola,XL,Colaba,Kalyan,343
Uber,Prime,Colaba,Kalyan,313
Ola,Bike,Panvel,Borivali,365
Uber,Mini,Panvel,Borivali,317
Ola,Auto,Kurla,Ghatkopar,834
Uber,Prime,Kurla,Ghatkopar,800
Ola,Mini,Colaba,Powai,736
Uber,Sedan,Colaba,Powai,784
Ola,Bike,Thane,Andheri,306
Uber,Sedan,Thane,Andheri,323
Ola,XL,Bandra,Bhiwandi,673
Uber,Auto,Bandra,Bhiwandi,748
Ola,Bike,Panvel,Powai,564
Uber,Mini,Panvel,Powai,535
Ola,Auto,Vasai,Andheri,373
Uber,Sedan,Vasai,Andheri,397
Ola,XL,Dadar,Andheri,548
Uber,Bike,Dadar,Andheri,515
Ola,Mini,Powai,Mulund,405
Uber,Mini,Powai,Mulund,324
Ola,Bike,Bandra,Ghatkopar,244
Uber,Mini,Bandra,Ghatkopar,290
Ola,Bike,Bhiwandi,Panvel,645
Uber,XL,Bhiwandi,Panvel,632
Ola,XL,Mira Road,Seawoods,442
Uber,Prime,Mira Road,Seawoods,436
Ola,Bike,Borivali,Kurla,641
Uber,Prime,Borivali,Kurla,647
Ola,XL,Mumbai Central,Bandra,470
Uber,Mini,Mumbai Central,Bandra,489
Ola,Auto,Dadar,Colaba,350
Uber,XL,Dadar,Colaba,332
Ola,Prime,Bhiwandi,Panvel,584
Uber,Prime,Bhiwandi,Panvel,584
Ola,XL,Mira Road,Mulund,714
Uber,Bike,Mira Road,Mulund,765
Ola,Prime,Andheri,Mira Road,563
Uber,Sedan,Andheri,Mira Road,469
Ola,Prime,Mira Road,Nerul,773
Uber,Bike,Mira Road,Nerul,747
Ola,Mini,Andheri,Seawoods,635
Uber,Bike,Andheri,Seawoods,616
Ola,XL,Borivali,Panvel,532
Uber,Sedan,Borivali,Panvel,502
Ola,Bike,Dadar,Panvel,723
Uber,Mini,Dadar,Panvel,721
Ola,Mini,Kalyan,Bhiwandi,582
Uber,Bike,Kalyan,Bhiwandi,558
Ola,Mini,Panvel,Borivali,314
Uber,XL,Panvel,Borivali,314
Ola,XL,Dadar,Seawoods,734
Uber,XL,Dadar,Seawoods,691
Ola,Auto,Bandra,Thane,627
Uber,Auto,Bandra,Thane,678
Ola,Prime,Mira Road,Panvel,641
Uber,Mini,Mira Road,Panvel,643
Ola,Auto,Chembur,Nerul,528
Uber,Bike,Chembur,Nerul,574
Ola,Mini,Powai,Mira Road,328
Uber,Bike,Powai,Mira Road,330
Ola,Auto,Dadar,Seawoods,196
Uber,Bike,Dadar,Seawoods,238
Ola,Mini,Mulund,Mumbai Central,514
Uber,Bike,Mulund,Mumbai Central,501
Ola,XL,Bandra,Dadar,205
Uber,Sedan,Bandra,Dadar,257
Ola,Mini,Kurla,Mira Road,374
Uber,XL,Kurla,Mira Road,374
Ola,Sedan,Colaba,Kalyan,476
Uber,Auto,Colaba,Kalyan,418
Ola,Auto,Mumbai Central,Andheri,302
Uber,XL,Mumbai Central,Andheri,271
Ola,Bike,Andheri,Colaba,470
Uber,Sedan,Andheri,Colaba,424
Ola,Prime,Mumbai Central,Vasai,463
Uber,Bike,Mumbai Central,Vasai,460
Ola,Mini,Vikhroli,Nerul,237
Uber,Prime,Vikhroli,Nerul,206
Ola,Prime,Vikhroli,Colaba,308
Uber,XL,Vikhroli,Colaba,332
Ola,Mini,Vasai,Bandra,289
Uber,Auto,Vasai,Bandra,282
Ola,Mini,Chembur,Andheri,729
Uber,Auto,Chembur,Andheri,717
Ola,Mini,Panvel,Andheri,564
Uber,Auto,Panvel,Andheri,563
Ola,Auto,Chembur,Ghatkopar,706
Uber,XL,Chembur,Ghatkopar,710
Ola,XL,Thane,Chembur,562
Uber,Mini,Thane,Chembur,572
Ola,Auto,Andheri,Vasai,706
Uber,Mini,Andheri,Vasai,629
Ola,Auto,Kalyan,Mira Road,507
Uber,Sedan,Kalyan,Mira Road,523
Ola,Auto,Seawoods,Andheri,651
Uber,Prime,Seawoods,Andheri,737
Ola,XL,Andheri,Thane,730
Uber,Auto,Andheri,Thane,772
Ola,Mini,Ghatkopar,Andheri,692
Uber,Prime,Ghatkopar,Andheri,654
Ola,Bike,Nerul,Thane,260
Uber,Sedan,Nerul,Thane,303
Ola,Prime,Mira Road,Kalyan,738
Uber,Sedan,Mira Road,Kalyan,747
Ola,Prime,Seawoods,Powai,461
Uber,XL,Seawoods,Powai,394
Ola,Mini,Colaba,Andheri,495
Uber,XL,Colaba,Andheri,479
Ola,Bike,Kurla,Seawoods,375
Uber,Mini,Kurla,Seawoods,406
Ola,Bike,Vasai,Chembur,274
Uber,Auto,Vasai,Chembur,283
Ola,Auto,Kurla,Andheri,544
Uber,Prime,Kurla,Andheri,534
Ola,Mini,Ghatkopar,Mumbai Central,162
Uber,XL,Ghatkopar,Mumbai Central,172
Ola,Prime,Andheri,Vasai,258
Uber,Prime,Andheri,Vasai,239
Ola,Mini,Andheri,Powai,369
Uber,Auto,Andheri,Powai,384
Ola,XL,Mira Road,Ghatkopar,595
Uber,Prime,Mira Road,Ghatkopar,619
Ola,Prime,Chembur,Vikhroli,545
Uber,Sedan,Chembur,Vikhroli,507
Ola,Prime,Kurla,Seawoods,636
Uber,Prime,Kurla,Seawoods,685
Ola,Auto,Nerul,Thane,479
Uber,XL,Nerul,Thane,527
Ola,Prime,Colaba,Nerul,263
Uber,Mini,Colaba,Nerul,279
Ola,Prime,Vasai,Bandra,450
Uber,Bike,Vasai,Bandra,441
Ola,Auto,Vikhroli,Vasai,366
Uber,Prime,Vikhroli,Vasai,429
Ola,XL,Mumbai Central,Thane,379
Uber,Auto,Mumbai Central,Thane,384
Ola,Sedan,Bandra,Bhiwandi,632
Uber,Auto,Bandra,Bhiwandi,585
Ola,Sedan,Bandra,Ghatkopar,348
Uber,Bike,Bandra,Ghatkopar,347
Ola,Auto,Chembur,Mumbai Central,573
Uber,Bike,Chembur,Mumbai Central,573
Ola,Mini,Thane,Kurla,574
Uber,Bike,Thane,Kurla,649
Ola,Mini,Mumbai Central,Kurla,497
Uber,Bike,Mumbai Central,Kurla,534
Ola,Prime,Borivali,Colaba,640
Uber,Sedan,Borivali,Colaba,605
Ola,Auto,Ghatkopar,Vikhroli,255
Uber,Prime,Ghatkopar,Vikhroli,209
